Trait	nSNP	overall_p	mscomp	ratio_coveredSNP
CD40L_Folkersen_33067605_1	5491	4e-13	PC16 (3e-04)	0.994926617140786
CD5_Hoglund_31727947_1	5413	3e-03	PC9 (2e-02)	0.980793622032977
CD6_Hoglund_31727947_1	5413	5e-03	PC21 (5e-02)	0.980793622032977
CDCP1_Hoglund_31727947_1	5413	1e-04	PC2 (2e-02)	0.980793622032977
CEL_Dubois_20190752_1	408	6e-15	PC1 (2e-12)	0.0739264359485414
CHI3L1_Folkersen_33067605_1	5491	1e-06	PC30 (6e-03)	0.994926617140786
CST5_Hoglund_31727947_1	5380	1e-03	PC26 (9e-02)	0.974814277948904
CSTB_Folkersen_33067605_1	5489	4e-07	PC35 (1e-02)	0.994564232650843
CTACK_AholaOlli_27989323_1	4962	8e-06	PC6 (2e-03)	0.899075919550643
CTSD_Folkersen_33067605_1	5490	2e-09	PC1 (1e-03)	0.994745424895814
CTSL1_Folkersen_33067605_1	5491	2e-08	PC16 (2e-03)	0.994926617140786
CX3CL1_Folkersen_33067605_1	5483	7e-07	PC26 (1e-02)	0.993477079181011
CX3CL1_Hoglund_31727947_1	5413	1e-08	PC5 (1e-02)	0.980793622032977
CX3CL1_Hoglund_31727947_2	5439	5e-05	PC37 (8e-02)	0.985504620402247
CXCL5_Hoglund_31727947_1	5413	6e-13	PC27 (3e-03)	0.980793622032977
CXCL5_Hoglund_31727947_2	5439	3e-12	PC27 (9e-03)	0.985504620402247
CXCL6_Folkersen_33067605_1	5483	9e-267	PC20 (6e-18)	0.993477079181011
CXCL6_Hoglund_31727947_1	5413	3e-29	PC10 (5e-03)	0.980793622032977
CXCL6_Hoglund_31727947_2	5439	2e-33	PC7 (2e-03)	0.985504620402247
DKK1_Folkersen_33067605_1	5491	5e-48	PC18 (9e-18)	0.994926617140786
DNER_Hoglund_31727947_1	5413	4e-08	PC3 (1e-04)	0.980793622032977
ECP_Folkersen_33067605_1	5299	4e-03	PC1 (4e-03)	0.960137706106179
EGF_Folkersen_33067605_1	5351	3e-06	PC17 (5e-02)	0.969559702844718
EGPA_Lyons_31719529_1	5000	3e-03	PC10 (8e-02)	0.905961224859576
EGPAANCAn_Lyons_31719529_1	5000	1e-02	PC18 (6e-02)	0.905961224859576
EGPAMPO_Lyons_31719529_1	5000	2e-02	PC36 (1e-01)	0.905961224859576
ENRAGE_Folkersen_33067605_1	5483	2e-06	PC30 (1e-02)	0.993477079181011
ENRAGE_Hoglund_31727947_1	5413	3e-02	PC6 (1e-01)	0.980793622032977
ENRAGE_Hoglund_31727947_2	5439	8e-02	PC19 (8e-02)	0.985504620402247
EOT1_AholaOlli_27989323_1	5017	4e-73	PC19 (9e-17)	0.909041493024099
EOT1_Hoglund_31727947_1	5413	6e-12	PC19 (1e-03)	0.980793622032977
ESEL_Folkersen_33067605_1	5491	2e-176	PC27 (9e-12)	0.994926617140786
ESM1_Folkersen_33067605_1	5351	2e-08	PC22 (5e-02)	0.969559702844718
FABP4_Folkersen_33067605_1	5491	1e-05	PC6 (2e-02)	0.994926617140786
FAS_Folkersen_33067605_1	5491	5e-03	PC40 (9e-03)	0.994926617140786
FGF19_Hoglund_31727947_1	5413	3e-03	PC13 (1e-01)	0.980793622032977
FGF21_Hoglund_31727947_1	5411	3e-05	PC19 (2e-02)	0.980431237543033
FGF23_Folkersen_33067605_1	5491	1e-07	PC20 (2e-02)	0.994926617140786
FGF23_Hoglund_31727947_1	5411	2e-03	PC29 (6e-02)	0.980431237543033
FGF23_Hoglund_31727947_2	5439	3e-03	PC12 (4e-02)	0.985504620402247
FGF5_Hoglund_31727947_1	5347	2e-05	PC5 (4e-03)	0.968834933864831
FGFB_AholaOlli_27989323_1	5023	2e-09	PC24 (4e-04)	0.91012864649393
FLT3L_Hoglund_31727947_1	5413	4e-03	PC11 (4e-02)	0.980793622032977
FLT3L_Hoglund_31727947_2	5439	3e-04	PC37 (3e-02)	0.985504620402247
FST_Folkersen_33067605_1	5490	1e-05	PC3 (6e-03)	0.994745424895814
GAL_Folkersen_33067605_1	5299	6e-11	PC6 (6e-08)	0.960137706106179
GAL3_Folkersen_33067605_1	5491	2e-14	PC38 (1e-03)	0.994926617140786
GCSF_AholaOlli_27989323_1	5022	2e-04	PC24 (2e-03)	0.909947454248958
GDF15_Folkersen_33067605_1	5491	7e-05	PC6 (6e-04)	0.994926617140786
GDNF_Hoglund_31727947_1	5312	5e-03	PC39 (3e-02)	0.962493205290814
GH_Folkersen_33067605_1	5491	3e-07	PC20 (5e-03)	0.994926617140786
GROA_AholaOlli_27989323_1	4959	1e-62	PC26 (7e-29)	0.898532342815727
GROA_Folkersen_33067605_1	5490	3e-30	PC18 (4e-08)	0.994745424895814
GROA_Hoglund_31727947_1	5411	3e-05	PC11 (3e-02)	0.980431237543033
GROA_Hoglund_31727947_2	5439	1e-09	PC20 (7e-03)	0.985504620402247
HBEGF_Folkersen_33067605_1	5491	2e-34	PC18 (4e-06)	0.994926617140786
HGF_AholaOlli_27989323_1	5026	3e-10	PC4 (1e-03)	0.910672223228846
HGF_Folkersen_33067605_1	5483	1e-10	PC1 (3e-03)	0.993477079181011
HGF_Hoglund_31727947_1	5411	2e-03	PC17 (3e-02)	0.980431237543033
HGF_Hoglund_31727947_2	5439	5e-06	PC7 (3e-02)	0.985504620402247
HSP27_Folkersen_33067605_1	5489	2e-07	PC35 (2e-03)	0.994564232650843
IBD_DeLange_28067908_1	5200	6e-21	PC19 (2e-04)	0.942199673853959
IFNG_AholaOlli_27989323_1	5017	2e-07	PC27 (2e-02)	0.909041493024099
IFNG_Hoglund_31727947_1	5315	2e-04	PC16 (6e-02)	0.963036782025729
IL10_AholaOlli_27989323_1	5014	3e-10	PC35 (1e-04)	0.908497916289183
IL10_Hoglund_31727947_1	5413	6e-03	PC6 (6e-02)	0.980793622032977
IL10RA_Hoglund_31727947_1	5225	1e-04	PC31 (2e-02)	0.946729479978257
IL10RB_Hoglund_31727947_1	5413	7e-07	PC40 (2e-03)	0.980793622032977
IL12_AholaOlli_27989323_1	5025	2e-13	PC18 (3e-06)	0.910491030983874
IL12B_Hoglund_31727947_1	5413	1e-05	PC22 (7e-03)	0.980793622032977
IL13_AholaOlli_27989323_1	4954	7e-10	PC18 (3e-05)	0.897626381590868
IL13_Hoglund_31727947_1	4906	3e-06	PC38 (2e-03)	0.888929153832216
IL15RA_Hoglund_31727947_1	5371	8e-04	PC26 (5e-02)	0.973183547744156
IL16_AholaOlli_27989323_1	4956	5e-29	PC8 (3e-18)	0.897988766080812
IL16_Folkersen_33067605_1	5491	0e+00	PC8 (1e-76)	0.994926617140786
IL17_AholaOlli_27989323_1	5008	5e-05	PC24 (1e-03)	0.907410762819351
IL17_Hoglund_31727947_1	5335	5e-05	PC25 (1e-02)	0.966660626925168
IL17C_Hoglund_31727947_1	5368	9e-07	PC21 (4e-02)	0.972639971009241
IL18_AholaOlli_27989323_1	5011	1e-10	PC25 (9e-04)	0.907954339554267
IL18_Folkersen_33067605_1	5491	3e-14	PC14 (6e-04)	0.994926617140786
IL18_Hoglund_31727947_1	5411	8e-06	PC8 (4e-03)	0.980431237543033
IL18_Hoglund_31727947_2	5439	7e-06	PC23 (2e-02)	0.985504620402247
IL18R1_Hoglund_31727947_1	5413	3e-07	PC17 (6e-03)	0.980793622032977
IL1A_Hoglund_31727947_1	4943	1e-04	PC5 (9e-03)	0.895633266896177
IL1B_AholaOlli_27989323_1	5069	1e-03	PC4 (5e-03)	0.918463489762638
IL1RA_AholaOlli_27989323_1	4964	2e-07	PC22 (4e-03)	0.899438304040587
IL1RA_Folkersen_33067605_1	5491	8e-86	PC15 (7e-51)	0.994926617140786
IL2_AholaOlli_27989323_1	4935	2e-04	PC11 (2e-02)	0.894183728936402
IL20_Hoglund_31727947_1	5048	8e-03	PC10 (6e-02)	0.914658452618228
IL20RA_Hoglund_31727947_1	5095	4e-03	PC36 (5e-02)	0.923174488131908
IL22RA1_Hoglund_31727947_1	4873	8e-08	PC10 (4e-04)	0.882949809748143
IL24_Hoglund_31727947_1	4860	5e-04	PC7 (5e-02)	0.880594310563508
IL27_Folkersen_33067605_1	5491	6e-16	PC9 (2e-04)	0.994926617140786
IL2RA_AholaOlli_27989323_1	4963	2e-04	PC15 (2e-02)	0.899257111795615
IL2RB_Hoglund_31727947_1	5004	6e-04	PC20 (3e-02)	0.906685993839464
IL4_AholaOlli_27989323_1	5019	1e-08	PC26 (7e-05)	0.909403877514042
IL4_Hoglund_31727947_1	5202	1e-04	PC6 (1e-02)	0.942562058343903
IL5_AholaOlli_27989323_1	4930	6e-05	PC35 (1e-02)	0.893277767711542
IL5_Hoglund_31727947_1	5115	1e-05	PC11 (2e-02)	0.926798333031346
IL6_AholaOlli_27989323_1	5023	1e-08	PC26 (1e-03)	0.91012864649393
IL6_Folkersen_33067605_1	5443	3e-05	PC15 (7e-03)	0.986229389382134
IL6_Hoglund_31727947_1	5411	3e-04	PC20 (2e-02)	0.980431237543033
IL6_Hoglund_31727947_2	5439	7e-05	PC39 (2e-02)	0.985504620402247
IL6RA_Folkersen_33067605_1	5491	3e-06	PC22 (7e-04)	0.994926617140786
IL7_AholaOlli_27989323_1	4982	2e-08	PC10 (1e-04)	0.902699764450081
IL7_Hoglund_31727947_1	5404	4e-05	PC26 (2e-02)	0.97916289182823
IL8_AholaOlli_27989323_1	4959	2e-07	PC24 (5e-06)	0.898532342815727
IL8_Folkersen_33067605_1	5483	1e-08	PC15 (2e-03)	0.993477079181011
IL8_Hoglund_31727947_1	5413	1e-02	PC6 (5e-02)	0.980793622032977
IL8_Hoglund_31727947_2	5439	3e-03	PC28 (6e-02)	0.985504620402247
IL9_AholaOlli_27989323_1	4969	2e-06	PC10 (2e-02)	0.900344265265447
IP10_AholaOlli_27989323_1	4958	3e-06	PC7 (2e-03)	0.898351150570756
IP10_Hoglund_31727947_1	5413	7e-06	PC40 (3e-02)	0.980793622032977
IP10_Hoglund_31727947_2	5439	2e-02	PC38 (5e-02)	0.985504620402247
IP9_Hoglund_31727947_1	5413	2e-04	PC12 (4e-02)	0.980793622032977
IP9_Hoglund_31727947_2	5439	1e-03	PC17 (1e-02)	0.985504620402247
K11_Folkersen_33067605_1	5351	2e-06	PC18 (1e-02)	0.969559702844718
K6_Folkersen_33067605_1	5491	1e-05	PC19 (2e-02)	0.994926617140786
KIM1_Folkersen_33067605_1	5491	3e-04	PC32 (3e-03)	0.994926617140786
LEP_Folkersen_33067605_1	5491	4e-06	PC38 (1e-02)	0.994926617140786
LIF_Hoglund_31727947_1	5038	5e-04	PC24 (3e-03)	0.912846530168509
LIFR_Hoglund_31727947_1	5413	1e-03	PC38 (4e-02)	0.980793622032977
LOX1_Folkersen_33067605_1	5491	9e-13	PC19 (3e-04)	0.994926617140786
MAMP_Folkersen_33067605_1	4941	2e-04	PC10 (4e-02)	0.895270882406233
MB_Folkersen_33067605_1	5491	6e-04	PC14 (4e-02)	0.994926617140786
MCP1_AholaOlli_27989323_1	5019	8e-61	PC26 (1e-16)	0.909403877514042
MCP1_Folkersen_33067605_1	5491	2e-46	PC26 (8e-09)	0.994926617140786
MCP1_Hoglund_31727947_1	5413	4e-08	PC8 (8e-03)	0.980793622032977
MCP1_Hoglund_31727947_2	5439	6e-08	PC19 (2e-02)	0.985504620402247
MCP2_Hoglund_31727947_1	5413	1e-29	PC7 (2e-03)	0.980793622032977
MCP3_AholaOlli_27989323_1	4307	1e-05	PC35 (6e-03)	0.780394999094039
MCP3_Hoglund_31727947_1	5413	1e-11	PC25 (7e-04)	0.980793622032977
MCP4_Hoglund_31727947_1	5413	8e-40	PC26 (2e-12)	0.980793622032977
MCSF_AholaOlli_27989323_1	4843	1e-03	PC20 (4e-02)	0.877514042398985
MCSF_Folkersen_33067605_1	5483	3e-04	PC26 (5e-02)	0.993477079181011
MCSF_Hoglund_31727947_1	5413	1e-04	PC7 (7e-03)	0.980793622032977
MCSF_Hoglund_31727947_2	5439	5e-04	PC26 (2e-04)	0.985504620402247
MIF_AholaOlli_27989323_1	4959	4e-04	PC40 (2e-03)	0.898532342815727
MIG_AholaOlli_27989323_1	4953	8e-05	PC7 (2e-03)	0.897445189345896
MIG_Hoglund_31727947_1	5413	7e-04	PC40 (1e-02)	0.980793622032977
MIG_Hoglund_31727947_2	5439	3e-03	PC39 (2e-01)	0.985504620402247
MIP1A_AholaOlli_27989323_1	4953	8e-05	PC24 (2e-03)	0.897445189345896
MIP1A_Folkersen_33067605_1	5491	8e-28	PC19 (2e-04)	0.994926617140786
MIP1A_Hoglund_31727947_1	5411	6e-04	PC3 (4e-02)	0.980431237543033
MIP1A_Hoglund_31727947_2	5423	4e-03	PC36 (1e-01)	0.982605544482696
MIP1B_AholaOlli_27989323_1	5025	4e-53	PC40 (7e-12)	0.910491030983874
MIP1B_Folkersen_33067605_1	5483	1e-39	PC28 (1e-04)	0.993477079181011
MIP1B_Hoglund_31727947_1	5413	1e-05	PC28 (7e-03)	0.980793622032977
MIP1B_Hoglund_31727947_2	5439	8e-08	PC28 (8e-04)	0.985504620402247
MLSN_Folkersen_33067605_1	5336	7e-09	PC26 (1e-02)	0.96684181917014
MMP1_Folkersen_33067605_1	5483	7e-23	PC32 (3e-07)	0.993477079181011
MMP1_Hoglund_31727947_1	5397	4e-05	PC14 (8e-03)	0.977894546113426
MMP1_Hoglund_31727947_2	5437	1e-03	PC27 (9e-03)	0.985142235912303
MMP10_Folkersen_33067605_1	5483	9e-22	PC38 (6e-07)	0.993477079181011
MMP10_Hoglund_31727947_1	5413	6e-04	PC24 (1e-02)	0.980793622032977
MMP10_Hoglund_31727947_2	5439	4e-04	PC24 (5e-02)	0.985504620402247
MMP12_Folkersen_33067605_1	5491	1e-07	PC1 (2e-03)	0.994926617140786
MMP3_Folkersen_33067605_1	5491	5e-04	PC6 (2e-02)	0.994926617140786
MMP7_Folkersen_33067605_1	5489	1e-07	PC14 (2e-02)	0.994564232650843
MPO_Folkersen_33067605_1	5491	8e-14	PC5 (6e-04)	0.994926617140786
NEMO_Folkersen_33067605_1	5489	2e-06	PC35 (3e-04)	0.994564232650843
NRTN_Hoglund_31727947_1	5022	1e-03	PC35 (3e-02)	0.909947454248958
NT3_Hoglund_31727947_1	5396	6e-07	PC19 (5e-03)	0.977713353868454
NTPROBNP_Folkersen_33067605_1	5192	1e-02	PC17 (3e-02)	0.940750135894184
OPG_Folkersen_33067605_1	5491	1e-04	PC3 (1e-02)	0.994926617140786
OPG_Hoglund_31727947_1	5413	5e-03	PC6 (1e-02)	0.980793622032977
OPG_Hoglund_31727947_2	5439	3e-03	PC26 (8e-02)	0.985504620402247
OSM_Hoglund_31727947_1	5410	7e-04	PC28 (2e-02)	0.980250045298061
PAPPA_Folkersen_33067605_1	5490	5e-13	PC7 (1e-04)	0.994745424895814
PAR1_Folkersen_33067605_1	5491	1e-19	PC35 (2e-05)	0.994926617140786
PBC_Cordell_26394269_1	922	3e-13	PC23 (1e-03)	0.167059249864106
PDGFb_Folkersen_33067605_1	5491	5e-31	PC18 (1e-12)	0.994926617140786
PDGFbb_AholaOlli_27989323_1	5013	7e-08	PC32 (5e-03)	0.908316724044211
PDL1_Hoglund_31727947_1	5223	1e-02	PC8 (5e-02)	0.946367095488313
PECAM1_Folkersen_33067605_1	5491	4e-65	PC27 (6e-09)	0.994926617140786
PGF_Folkersen_33067605_1	5491	3e-06	PC33 (1e-02)	0.994926617140786
PRL_Folkersen_33067605_1	5299	1e-04	PC34 (2e-02)	0.960137706106179
PSC_Ji_27992413_1	4353	5e-10	PC7 (3e-05)	0.788729842362747
PSGL1_Folkersen_33067605_1	5490	3e-10	PC19 (2e-04)	0.994745424895814
PTEX3_Folkersen_33067605_1	5486	4e-08	PC20 (1e-03)	0.994020655915927
RA_Okada_24390342_1	4385	6e-15	PC19 (3e-04)	0.794527994201848
RAGE_Folkersen_33067605_1	5491	6e-09	PC25 (2e-03)	0.994926617140786
RANTES_AholaOlli_27989323_1	4961	4e-06	PC27 (4e-04)	0.898894727305671
REN_Folkersen_33067605_1	5491	1e-05	PC1 (5e-03)	0.994926617140786
RETN_Folkersen_33067605_1	5491	2e-08	PC1 (7e-03)	0.994926617140786
SCF_AholaOlli_27989323_1	5016	2e-11	PC37 (4e-05)	0.908860300779127
SCF_Folkersen_33067605_1	5491	2e-07	PC27 (1e-02)	0.994926617140786
SCF_Hoglund_31727947_1	5411	6e-05	PC4 (8e-03)	0.980431237543033
SCF_Hoglund_31727947_2	5439	2e-04	PC4 (2e-03)	0.985504620402247
SCGFb_AholaOlli_27989323_1	4965	4e-04	PC14 (9e-02)	0.899619496285559
SCYB16_Folkersen_33067605_1	5491	5e-18	PC10 (7e-06)	0.994926617140786
SDF1a_AholaOlli_27989323_1	5003	2e-06	PC18 (4e-03)	0.906504801594492
SIRT2_Folkersen_33067605_1	5480	1e-08	PC35 (6e-03)	0.992933502446095
SIRT2_Hoglund_31727947_1	5413	7e-07	PC25 (3e-03)	0.980793622032977
SIRT2_Hoglund_31727947_2	5427	3e-05	PC13 (1e-02)	0.983330313462584
SLAMF1_Hoglund_31727947_1	5406	1e-04	PC27 (3e-02)	0.979525276318174
SLE_Julia_29848360_1	4080	1e-15	PC23 (8e-08)	0.739264359485414
SPON1_Folkersen_33067605_1	5408	6e-09	PC21 (2e-03)	0.979887660808117
SRC_Folkersen_33067605_1	5491	3e-06	PC35 (2e-04)	0.994926617140786
ST2_Folkersen_33067605_1	5482	5e-06	PC1 (4e-02)	0.993295886936039
STAMBP_Hoglund_31727947_1	5413	2e-05	PC25 (6e-02)	0.980793622032977
SULT1A1_Hoglund_31727947_1	5403	3e-04	PC19 (2e-02)	0.978981699583258
T1D_Chiou_34012112_1	5501	4e-77	PC9 (6e-16)	0.996738539590506
TF_Folkersen_33067605_1	5491	2e-91	PC40 (4e-13)	0.994926617140786
TGFa_Hoglund_31727947_1	5411	1e-05	PC27 (1e-04)	0.980431237543033
TGFa_Hoglund_31727947_2	5296	1e-05	PC33 (3e-02)	0.959594129371263
TGFb1_Hoglund_31727947_1	5413	5e-04	PC15 (5e-03)	0.980793622032977
TGFb1_Hoglund_31727947_2	5439	7e-04	PC15 (4e-02)	0.985504620402247
TIE2_Folkersen_33067605_1	5491	3e-10	PC3 (6e-03)	0.994926617140786
TM_Folkersen_33067605_1	5491	8e-07	PC25 (4e-02)	0.994926617140786
TNFa_AholaOlli_27989323_1	4949	1e-04	PC24 (3e-03)	0.896720420366008
TNFb_AholaOlli_27989323_1	3763	1e-05	PC25 (3e-03)	0.681826417829317
TNFb_Hoglund_31727947_1	5413	1e-07	PC21 (7e-03)	0.980793622032977
TNFR1_Folkersen_33067605_1	5491	1e-07	PC14 (2e-03)	0.994926617140786
TNFR2_Folkersen_33067605_1	5491	4e-15	PC14 (8e-07)	0.994926617140786
TNFRSF9_Hoglund_31727947_1	5413	1e-03	PC6 (6e-03)	0.980793622032977
TNFSF14_Folkersen_33067605_1	5480	2e-14	PC30 (3e-04)	0.992933502446095
TNFSF14_Hoglund_31727947_1	5411	3e-05	PC28 (2e-03)	0.980431237543033
TNFSF14_Hoglund_31727947_2	5375	3e-04	PC40 (1e-02)	0.973908316724044
TPA_Folkersen_33067605_1	5491	8e-06	PC39 (3e-02)	0.994926617140786
TRAIL_AholaOlli_27989323_1	5023	2e-07	PC38 (1e-02)	0.91012864649393
TRAIL_Folkersen_33067605_1	5470	9e-04	PC34 (3e-02)	0.991121579996376
TRAIL_Hoglund_31727947_1	5439	5e-02	PC38 (2e-01)	0.985504620402247
TRAILR2_Folkersen_33067605_1	5491	1e-06	PC14 (3e-03)	0.994926617140786
TRANCE_Folkersen_33067605_1	5483	3e-07	PC19 (2e-03)	0.993477079181011
TRANCE_Hoglund_31727947_1	5413	6e-03	PC6 (3e-03)	0.980793622032977
TRANCE_Hoglund_31727947_2	5439	1e-03	PC14 (2e-02)	0.985504620402247
TWEAK_Hoglund_31727947_1	5413	1e-09	PC17 (3e-02)	0.980793622032977
UC_DeLange_28067908_1	5189	3e-09	PC19 (8e-05)	0.940206559159268
UPA_Hoglund_31727947_1	5413	2e-04	PC38 (1e-03)	0.980793622032977
UPAR_Folkersen_33067605_1	5491	2e-09	PC1 (7e-03)	0.994926617140786
VEGF_AholaOlli_27989323_1	5016	7e-13	PC18 (4e-05)	0.908860300779127
VEGF_Folkersen_33067605_1	5483	9e-43	PC18 (9e-22)	0.993477079181011
VEGFA_Hoglund_31727947_1	5411	4e-07	PC19 (3e-03)	0.980431237543033
VEGFA_Hoglund_31727947_2	5439	2e-04	PC30 (1e-02)	0.985504620402247
VEGFD_Folkersen_33067605_1	5491	3e-03	PC36 (3e-02)	0.994926617140786
