Trait	nSNP	overall_p	mscomp	ratio_coveredSNP
4EBP1_Hoglund_31727947_1	5413	4e-06	PC8 (3e-03)	0.980793622032977
ADA_Hoglund_31727947_1	5413	1e-04	PC6 (3e-03)	0.980793622032977
ADM_Folkersen_33067605_1	5491	9e-07	PC6 (3e-02)	0.994926617140786
AGRP_Folkersen_33067605_1	5491	1e-12	PC6 (1e-05)	0.994926617140786
AST_Demenais_29273806_1	1619	4e-07	PC10 (3e-03)	0.293350244609531
AXIN1_Hoglund_31727947_1	5406	3e-04	PC34 (7e-03)	0.979525276318174
bNGF_AholaOlli_27989323_1	4964	6e-05	PC36 (5e-03)	0.899438304040587
bNGF_Folkersen_33067605_1	5444	4e-04	PC19 (2e-02)	0.986410581627106
bNGF_Hoglund_31727947_1	5406	9e-06	PC3 (1e-02)	0.979525276318174
CA125_Folkersen_33067605_1	5341	2e-07	PC28 (7e-04)	0.967747780394999
CASP8_Folkersen_33067605_1	5482	5e-06	PC23 (8e-03)	0.993295886936039
CASP8_Hoglund_31727947_1	5413	3e-04	PC2 (4e-02)	0.980793622032977
CASP8_Hoglund_31727947_2	5434	6e-05	PC24 (1e-02)	0.984598659177387
CCL19_Hoglund_31727947_1	5413	1e-03	PC26 (6e-03)	0.980793622032977
CCL20_Folkersen_33067605_1	5483	8e-10	PC6 (2e-04)	0.993477079181011
CCL20_Hoglund_31727947_1	5413	3e-05	PC32 (7e-03)	0.980793622032977
CCL20_Hoglund_31727947_2	5439	3e-06	PC6 (1e-04)	0.985504620402247
CCL23_Hoglund_31727947_1	5413	3e-08	PC6 (1e-02)	0.980793622032977
CCL25_Hoglund_31727947_1	5413	3e-15	PC6 (5e-04)	0.980793622032977
CCL28_Hoglund_31727947_1	5370	5e-06	PC27 (2e-03)	0.973002355499185
CD_DeLange_28067908_1	5184	2e-29	PC35 (2e-05)	0.939300597934408
CD244_Hoglund_31727947_1	5413	5e-05	PC11 (4e-02)	0.980793622032977
CD40_Folkersen_33067605_1	5483	2e-07	PC35 (9e-04)	0.993477079181011
CD40_Hoglund_31727947_1	5413	9e-05	PC36 (2e-02)	0.980793622032977
CD40_Hoglund_31727947_2	5439	3e-05	PC13 (8e-03)	0.985504620402247
