Trait	nSNP	overall_p	mscomp	ratio_coveredSNP
FGFB_AholaOlli_27989323_1	5023	0.00236210555206348	PC24 (4e-04)	0.91012864649393
FLT3L_Hoglund_31727947_1	5413	0.816273305940857	PC11 (4e-02)	0.980793622032977
FLT3L_Hoglund_31727947_2	5439	0.480912212529344	PC37 (3e-02)	0.985504620402247
FST_Folkersen_33067605_1	5490	0.166491026876274	PC3 (6e-03)	0.994745424895814
GAL_Folkersen_33067605_1	5299	0.000279414960543554	PC6 (6e-08)	0.960137706106179
GAL3_Folkersen_33067605_1	5491	1.11378333617646e-06	PC38 (1e-03)	0.994926617140786
GCSF_AholaOlli_27989323_1	5022	0.447550238016875	PC24 (2e-03)	0.909947454248958
GDF15_Folkersen_33067605_1	5491	0.328579013442412	PC6 (6e-04)	0.994926617140786
GDNF_Hoglund_31727947_1	5312	0.824521619332313	PC39 (3e-02)	0.962493205290814
GH_Folkersen_33067605_1	5491	0.035968348473217	PC20 (5e-03)	0.994926617140786
GROA_AholaOlli_27989323_1	4959	5.34929073001604e-48	PC26 (7e-29)	0.898532342815727
GROA_Folkersen_33067605_1	5490	4.66971115343281e-19	PC18 (4e-08)	0.994745424895814
GROA_Hoglund_31727947_1	5411	0.251420990296353	PC11 (3e-02)	0.980431237543033
GROA_Hoglund_31727947_2	5439	0.00187078603776142	PC20 (7e-03)	0.985504620402247
HBEGF_Folkersen_33067605_1	5491	9.59770767044043e-23	PC18 (4e-06)	0.994926617140786
HGF_AholaOlli_27989323_1	5026	0.000692601374648244	PC4 (1e-03)	0.910672223228846
HGF_Folkersen_33067605_1	5483	0.000378682035326113	PC1 (3e-03)	0.993477079181011
HGF_Hoglund_31727947_1	5411	0.714095843990733	PC17 (3e-02)	0.980431237543033
HGF_Hoglund_31727947_2	5439	0.126939183048251	PC7 (3e-02)	0.985504620402247
HSP27_Folkersen_33067605_1	5489	0.0270659349417421	PC35 (2e-03)	0.994564232650843
IBD_DeLange_28067908_1	5200	1.62021565321075e-11	PC19 (2e-04)	0.942199673853959
IFNG_AholaOlli_27989323_1	5017	0.0260427032434718	PC27 (2e-02)	0.909041493024099
IFNG_Hoglund_31727947_1	5315	0.431605939545001	PC16 (6e-02)	0.963036782025729
IL10_AholaOlli_27989323_1	5014	0.000717911410741907	PC35 (1e-04)	0.908497916289183
IL10_Hoglund_31727947_1	5413	0.858370971744417	PC6 (6e-02)	0.980793622032977
IL10RA_Hoglund_31727947_1	5225	0.368268033496318	PC31 (2e-02)	0.946729479978257
IL10RB_Hoglund_31727947_1	5413	0.0508874362762579	PC40 (2e-03)	0.980793622032977
IL12_AholaOlli_27989323_1	5025	6.98572887007437e-06	PC18 (3e-06)	0.910491030983874
IL12B_Hoglund_31727947_1	5413	0.160716231826481	PC22 (7e-03)	0.980793622032977
IL13_AholaOlli_27989323_1	4954	0.00126500113024558	PC18 (3e-05)	0.897626381590868
IL13_Hoglund_31727947_1	4906	0.102625817038448	PC38 (2e-03)	0.888929153832216
IL15RA_Hoglund_31727947_1	5371	0.623325607258951	PC26 (5e-02)	0.973183547744156
IL16_AholaOlli_27989323_1	4956	4.30956412398792e-18	PC8 (3e-18)	0.897988766080812
IL16_Folkersen_33067605_1	5491	0	PC8 (1e-76)	0.994926617140786
IL17_AholaOlli_27989323_1	5008	0.291955739142061	PC24 (1e-03)	0.907410762819351
IL17_Hoglund_31727947_1	5335	0.294681818150532	PC25 (1e-02)	0.966660626925168
IL17C_Hoglund_31727947_1	5368	0.0577564368642901	PC21 (4e-02)	0.972639971009241
IL18_AholaOlli_27989323_1	5011	0.00044996484856335	PC25 (9e-04)	0.907954339554267
IL18_Folkersen_33067605_1	5491	1.70938173716649e-06	PC14 (6e-04)	0.994926617140786
IL18_Hoglund_31727947_1	5411	0.151753737969149	PC8 (4e-03)	0.980431237543033
IL18_Hoglund_31727947_2	5439	0.137972148974834	PC23 (2e-02)	0.985504620402247
IL18R1_Hoglund_31727947_1	5413	0.0363809965806511	PC17 (6e-03)	0.980793622032977
IL1A_Hoglund_31727947_1	4943	0.360813664267592	PC5 (9e-03)	0.895633266896177
IL1B_AholaOlli_27989323_1	5069	0.670011913931584	PC4 (5e-03)	0.918463489762638
IL1RA_AholaOlli_27989323_1	4964	0.0305570710978017	PC22 (4e-03)	0.899438304040587
IL1RA_Folkersen_33067605_1	5491	1.54381914913153e-69	PC15 (7e-51)	0.994926617140786
IL2_AholaOlli_27989323_1	4935	0.453295354841605	PC11 (2e-02)	0.894183728936402
IL20_Hoglund_31727947_1	5048	0.883590850322295	PC10 (6e-02)	0.914658452618228
IL20RA_Hoglund_31727947_1	5095	0.81913705729154	PC36 (5e-02)	0.923174488131908
IL22RA1_Hoglund_31727947_1	4873	0.0184478133097791	PC10 (4e-04)	0.882949809748143
IL24_Hoglund_31727947_1	4860	0.550026381054203	PC7 (5e-02)	0.880594310563508
IL27_Folkersen_33067605_1	5491	1.13055760678207e-07	PC9 (2e-04)	0.994926617140786
IL2RA_AholaOlli_27989323_1	4963	0.466713221736138	PC15 (2e-02)	0.899257111795615
IL2RB_Hoglund_31727947_1	5004	0.578470722705709	PC20 (3e-02)	0.906685993839464
IL4_AholaOlli_27989323_1	5019	0.00656762113205621	PC26 (7e-05)	0.909403877514042
IL4_Hoglund_31727947_1	5202	0.394506351104263	PC6 (1e-02)	0.942562058343903
IL5_AholaOlli_27989323_1	4930	0.304325838618023	PC35 (1e-02)	0.893277767711542
IL5_Hoglund_31727947_1	5115	0.16941991862654	PC11 (2e-02)	0.926798333031346
IL6_AholaOlli_27989323_1	5023	0.00587491802490475	PC26 (1e-03)	0.91012864649393
IL6_Folkersen_33067605_1	5443	0.24128090967321	PC15 (7e-03)	0.986229389382134
IL6_Hoglund_31727947_1	5411	0.509706266283786	PC20 (2e-02)	0.980431237543033
IL6_Hoglund_31727947_2	5439	0.320694964262878	PC39 (2e-02)	0.985504620402247
IL6RA_Folkersen_33067605_1	5491	0.104115759776917	PC22 (7e-04)	0.994926617140786
IL7_AholaOlli_27989323_1	4982	0.00950355651721575	PC10 (1e-04)	0.902699764450081
