Trait	nSNP
MCSF_Hoglund_31727947_1	633882
MCSF_Hoglund_31727947_2	634893
MIF_AholaOlli_27989323_1	600043
MIG_AholaOlli_27989323_1	600538
MIG_Hoglund_31727947_1	633882
MIG_Hoglund_31727947_2	634893
MIP1A_AholaOlli_27989323_1	599294
MIP1A_Folkersen_33067605_1	639498
MIP1A_Hoglund_31727947_1	633675
MIP1A_Hoglund_31727947_2	634340
MIP1B_AholaOlli_27989323_1	604646
MIP1B_Folkersen_33067605_1	638857
MIP1B_Hoglund_31727947_1	633882
MIP1B_Hoglund_31727947_2	634867
MLSN_Folkersen_33067605_1	626773
MMP1_Folkersen_33067605_1	638824
MMP1_Hoglund_31727947_1	633169
MMP1_Hoglund_31727947_2	634830
MMP10_Folkersen_33067605_1	638857
MMP10_Hoglund_31727947_1	633882
MMP10_Hoglund_31727947_2	634867
MMP12_Folkersen_33067605_1	639495
MMP3_Folkersen_33067605_1	639507
MMP7_Folkersen_33067605_1	639447
MPO_Folkersen_33067605_1	639527
NEMO_Folkersen_33067605_1	639445
NRTN_Hoglund_31727947_1	603761
NT3_Hoglund_31727947_1	633275
NTPROBNP_Folkersen_33067605_1	618060
OPG_Folkersen_33067605_1	639526
OPG_Hoglund_31727947_1	633875
OPG_Hoglund_31727947_2	634893
OSM_Hoglund_31727947_1	633810
PAPPA_Folkersen_33067605_1	639482
PAR1_Folkersen_33067605_1	639497
PBC_Cordell_26394269_1	107669
PDGFb_Folkersen_33067605_1	639498
PDGFbb_AholaOlli_27989323_1	604492
PDL1_Hoglund_31727947_1	618591
PECAM1_Folkersen_33067605_1	639527
PGF_Folkersen_33067605_1	639498
PRL_Folkersen_33067605_1	623666
PSC_Ji_27992413_1	541552
PSGL1_Folkersen_33067605_1	639480
PTEX3_Folkersen_33067605_1	639361
RA_Okada_24390342_1	520538
RAGE_Folkersen_33067605_1	639498
RANTES_AholaOlli_27989323_1	599615
REN_Folkersen_33067605_1	639498
RETN_Folkersen_33067605_1	639527
SCF_AholaOlli_27989323_1	604753
SCF_Folkersen_33067605_1	639498
SCF_Hoglund_31727947_1	633706
SCF_Hoglund_31727947_2	634893
